TYPE,N_COVER,Description
farmland,190,French complex cultivation pat.  
park,160,Urban parks
meadow,194,French crops and woodland  
wood,235,Temperate woodland
scrub,194,French crops and woodland  
garden,160,Urban parks
grass,160,Urban parks
forest,203,Temperate broad-leaved forest 
heath,227,Mediter. moors & heath lands
